subject_id,timepoint,mission_phase,time_index,metric,data_type,baseline_value,current_value,delta_value,absolute_delta_value
Demo_Crew_02,T3_post,postflight,3,mean_node_activation,schema_demonstration_not_scientific_evidence,0.72833,1.06167,0.33334,0.33334
Demo_Crew_02,T3_post,postflight,3,max_node_activation,schema_demonstration_not_scientific_evidence,0.78,1.2,0.42,0.42
Demo_Crew_02,T3_post,postflight,3,total_node_activation,schema_demonstration_not_scientific_evidence,4.37,6.37,2.0,2.0
Demo_Crew_02,T3_post,postflight,3,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,4.0,4.0,4.0
Demo_Crew_02,T3_post,postflight,3,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.66667,0.66667,0.66667
Demo_Crew_02,T3_post,postflight,3,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.46667,0.2,0.2
Demo_Crew_02,T3_post,postflight,3,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,3.0,3.0,3.0
Demo_Crew_02,T4_recovery,recovery,4,mean_node_activation,schema_demonstration_not_scientific_evidence,0.72833,0.79333,0.065,0.065
Demo_Crew_02,T4_recovery,recovery,4,max_node_activation,schema_demonstration_not_scientific_evidence,0.78,0.85,0.07,0.07
Demo_Crew_02,T4_recovery,recovery,4,total_node_activation,schema_demonstration_not_scientific_evidence,4.37,4.76,0.39,0.39
Demo_Crew_02,T4_recovery,recovery,4,n_active_domains,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T4_recovery,recovery,4,active_domain_fraction,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
Demo_Crew_02,T4_recovery,recovery,4,graph_density,schema_demonstration_not_scientific_evidence,0.26667,0.26667,0.0,0.0
Demo_Crew_02,T4_recovery,recovery,4,coactivation_edge_count,schema_demonstration_not_scientific_evidence,0.0,0.0,0.0,0.0
